,longitude,latitude
1440,-85.07263,-85.07263
1441,-82.38587,-82.38587
1442,-98.03333,-98.03333
1443,-100.5,-100.5
1444,-95.32,-95.32
1445,-94.76362,-94.76362
1446,-97.5,-97.5
1447,-95.5425,-95.5425
1448,-95.37666,-95.37666
1449,-95.52722,-95.52722
1450,-94.86958,-94.86958
1451,-97.8375,-97.8375
1452,-95.01264,-95.01264
1453,-97.04361,-97.04361
1454,-94.3,-94.3
1455,-95.48833,-95.48833
1456,-98.055,-98.055
1457,-95.60834,-95.60834
1458,-102.6922,-102.6922
1459,-94.89778,-94.89778
1460,-95.06667,-95.06667
1461,-95.16028,-95.16028
1462,-94.63458,-94.63458
1463,-99.18778,-99.18778
1464,-95.58334,-95.58334
1465,-95.76861,-95.76861
1466,-95.80556,-95.80556
1467,-94.965,-94.965
1468,-103.7439,-103.7439
1469,-98.35,-98.35
1470,-95.19722,-95.19722
1471,-94.59222,-94.59222
1472,-95.8775,-95.8775
1473,-97.54944,-97.54944
1474,-94.90528,-94.90528
1475,-94.41528,-94.41528
1476,-95.82056,-95.82056
1477,-96.10222,-96.10222
1478,-94.37444,-94.37444
1479,-102.3881,-102.3881
1480,-96.00306,-96.00306
1481,-94.7375,-94.7375
1482,-96.84806,-96.84806
1483,-95.83639,-95.83639
1484,-100.4161,-100.4161
1485,-95.90694,-95.90694
1486,-96.78917,-96.78917
1487,-94.35722,-94.35722
1488,-94.16666,-94.16666
1489,-95.27361,-95.27361
1490,-94.2,-94.2
1491,-94.52,-94.52
1492,-94.15,-94.15
1493,-95.61056,-95.61056
1494,-94.85,-94.85
1495,-98.08611,-98.08611
1496,-94.2,-94.2
1497,-94.79333,-94.79333
1498,-94.82,-94.82
1499,-94.86667,-94.86667
1500,-94.9,-94.9
1501,-94.25694,-94.25694
1502,-94.83334,-94.83334
1503,-95.09167,-95.09167
1504,-96.29222,-96.29222
1505,-96.25,-96.25
1506,-96.71,-96.71
1507,-101.3903,-101.3903
1508,-93.61667,-93.61667
1509,-95.21667,-95.21667
1510,-97.83334,-97.83334
1511,-94.86667,-94.86667
1512,-94.68333,-94.68333
1513,-94.72334,-94.72334
1514,-95.6,-95.6
1515,-94.14306,-94.14306
1516,-94.85,-94.85
1517,-96.01666,-96.01666
1518,-95.63,-95.63
1519,-95.00833,-95.00833
1520,-93.94,-93.94
1521,-95.3,-95.3
1522,-95.32,-95.32
1523,-98.09234,-98.09234
1524,-94.70139,-94.70139
1525,-94.32139,-94.32139
1526,-95.28653,-95.28653
1527,-97.05903,-97.05903
1528,-94.47903,-94.47903
1529,-93.972,-93.972
1530,-93.7,-93.7
1531,-98.3298,-98.3298
1532,-95.6669,-95.6669
1533,-95.46671,-95.46671
1534,-95.23958,-95.23958
1535,-95.59745,-95.59745
1536,-93.8117,-93.8117
1537,-101.667,-101.667
1538,-98.68465,-98.68465
1539,-95.37101,-95.37101
1540,-95.10654,-95.10654
1541,-94.45095,-94.45095
1542,-96.12524,-96.12524
1543,-95.12381,-95.12381
1544,-95.17966,-95.17966
1545,-95.35257,-95.35257
1546,-97.61,-97.61
1547,-97.61,-97.61
1548,-95.12872,-95.12872
1549,-97.77225,-97.77225
1550,-98.15854,-98.15854
1551,-98.325,-98.325
1552,-100.6767,-100.6767
1553,-111.3481,-111.3481
1554,-111.6992,-111.6992
1555,-110.9315,-110.9315
1556,-111.75,-111.75
1557,-109.9,-109.9
1558,-112.35,-112.35
1559,-111.4988,-111.4988
1560,-112.5,-112.5
1561,-111.5447,-111.5447
1562,-111.5281,-111.5281
1563,-111.0837,-111.0837
1564,-109.5143,-109.5143
1565,-113.7382,-113.7382
1566,-112.0179,-112.0179
1567,-111.5333,-111.5333
1568,-111.8038,-111.8038
1569,-77.36115,-77.36115
1570,-79.77946,-79.77946
1571,-80.82856,-80.82856
1572,-78.53718,-78.53718
1573,-80.38748,-80.38748
1574,-81.09017,-81.09017
1575,-80.13276,-80.13276
1576,-76.6658,-76.6658
1577,-77.97089,-77.97089
1578,-78.55758,-78.55758
1579,-79.052,-79.052
1580,-79.82829,-79.82829
1581,-77.6257,-77.6257
1582,-80.98215,-80.98215
1583,-79.57,-79.57
1584,-80.5378,-80.5378
1585,-77.23238,-77.23238
1586,-80.48,-80.48
1587,-78.33453,-78.33453
1588,-77.90815,-77.90815
1589,-78.6205,-78.6205
1590,-77.34673,-77.34673
1591,-79.36079,-79.36079
1592,-77.67422,-77.67422
1593,-81.48593,-81.48593
1594,-77.354,-77.354
1595,-78.20517,-78.20517
1596,-78.48832,-78.48832
1597,-79.55045,-79.55045
1598,-80.6585,-80.6585
1599,-80.3755,-80.3755
1600,-72.7051,-72.7051
1601,-122.6228,-122.6228
1602,-121.2802,-121.2802
1603,-122.3003,-122.3003
1604,-121.5478,-121.5478
1605,-117.7619,-117.7619
1606,-124.7312,-124.7312
1607,-122.4089,-122.4089
1608,-117.9458,-117.9458
1609,-117.9592,-117.9592
1610,-123.1175,-123.1175
1611,-122.9179,-122.9179
1612,-123.3893,-123.3893
1613,-121.4142,-121.4142
1614,-123.5894,-123.5894
1615,-123.8886,-123.8886
1616,-121.5708,-121.5708
1617,-122.0111,-122.0111
1618,-123.8793,-123.8793
1619,-123.3769,-123.3769
1620,-117.8106,-117.8106
1621,-123.8792,-123.8792
1622,-123.4822,-123.4822
1623,-121.9258,-121.9258
1624,-122.1806,-122.1806
1625,-121.7713,-121.7713
1626,-122.3454,-122.3454
1627,-122.7063,-122.7063
1628,-121.2303,-121.2303
1629,-123.0966,-123.0966
1630,-123.3261,-123.3261
1631,-121.9572,-121.9572
1632,-122.8858,-122.8858
1633,-117.4214,-117.4214
1634,-117.4161,-117.4161
1635,-117.3347,-117.3347
1636,-122.6869,-122.6869
1637,-121.4642,-121.4642
1638,-122.782,-122.782
1639,-122.6869,-122.6869
1640,-122.1767,-122.1767
1641,-121.4642,-121.4642
1642,-122.2778,-122.2778
1643,-122.0144,-122.0144
1644,-122.1379,-122.1379
1645,-122.2083,-122.2083
1646,-122.1572,-122.1572
1647,-122.0194,-122.0194
1648,-122.2375,-122.2375
1649,-121.9425,-121.9425
1650,-122.0958,-122.0958
1651,-121.3819,-121.3819
1652,-122.0447,-122.0447
1653,-121.6647,-121.6647
1654,-122.4133,-122.4133
1655,-122.7669,-122.7669
1656,-122.1694,-122.1694
1657,-120.6694,-120.6694
1658,-121.0939,-121.0939
1659,-120.8681,-120.8681
1660,-121.7753,-121.7753
1661,-121.6769,-121.6769
1662,-123.82,-123.82
1663,-122.1852,-122.1852
1664,-122.1833,-122.1833
1665,-122.1656,-122.1656
1666,-122.2963,-122.2963
1667,-122.2739,-122.2739
1668,-122.2739,-122.2739
1669,-122.2988,-122.2988
1670,-122.2825,-122.2825
1671,-121.7692,-121.7692
1672,-120.1211,-120.1211
1673,-119.3172,-119.3172
1674,-122.4369,-122.4369
1675,-121.3314,-121.3314
1676,-120.2955,-120.2955
1677,-118.0711,-118.0711
1678,-118.0519,-118.0519
1679,-122.382,-122.382
1680,-123.6288,-123.6288
1681,-119.7084,-119.7084
1682,-122.5322,-122.5322
1683,-121.3055,-121.3055
1684,-121.2543,-121.2543
1685,-121.2309,-121.2309
1686,-121.5863,-121.5863
1687,-122.69,-122.69
1688,-122.1652,-122.1652
1689,-121.51,-121.51
1690,-121.6738,-121.6738
1691,-122.4988,-122.4988
1692,-121.9008,-121.9008
1693,-123.1875,-123.1875
1694,-122.5855,-122.5855
1695,-122.1983,-122.1983
1696,-121.5344,-121.5344
1697,-121.3114,-121.3114
1698,-122.9627,-122.9627
1699,-121.9063,-121.9063
1700,-122.028,-122.028
1701,-121.745,-121.745
1702,-121.9658,-121.9658
1703,-122.4275,-122.4275
1704,-123.2135,-123.2135
1705,-121.6279,-121.6279
1706,-121.5867,-121.5867
1707,-121.5863,-121.5863
1708,-120.9855,-120.9855
1709,-122.2156,-122.2156
1710,-123.5439,-123.5439
1711,-117.2776,-117.2776
1712,-122.7919,-122.7919
1713,-120.4474,-120.4474
1714,-123.6081,-123.6081
1715,-122.3985,-122.3985
1716,-123.8763,-123.8763
1717,-121.0909,-121.0909
1718,-123.2022,-123.2022
1719,-121.6352,-121.6352
1720,-122.8294,-122.8294
