,address,city,cuisines,latitude,longitude,name,postalcode,websites
1581,624 E Colorado Blvd,Pasadena,Mexican,34.1458,-118.1429,La Fiesta Grande,91101,http://www.sangabrielvalleymenus.com/la
1582,624 E Colorado Blvd,Pasadena,Mexican,34.1458,-118.1429,La Fiesta Grande,91101,http://www.sangabrielvalleymenus.com/la
1583,5701 Van Buren Blvd,Riverside,Latin American Restaurants,33.940945,-117.45389,Papis Tacos Al Carbon,92503,
1584,5701 Van Buren Blvd,Riverside,Latin American Restaurants,33.940945,-117.45389,Papis Tacos Al Carbon,92503,
1585,5701 Van Buren Blvd,Riverside,Latin American Restaurants,33.940945,-117.45389,Papis Tacos Al Carbon,92503,
1618,3801 Yosemite Blvd,Modesto,"Mexican,Latin American Restaurants",37.63825,-120.92657,Taqueria El Maguey,95357,http://www.tacoselmaguey.com
1619,3801 Yosemite Blvd,Modesto,"Mexican,Latin American Restaurants",37.63825,-120.92657,Taqueria El Maguey,95357,http://www.tacoselmaguey.com
1620,3801 Yosemite Blvd,Modesto,"Mexican,Latin American Restaurants",37.63825,-120.92657,Taqueria El Maguey,95357,http://www.tacoselmaguey.com
1621,3801 Yosemite Blvd,Modesto,"Mexican,Latin American Restaurants",37.63825,-120.92657,Taqueria El Maguey,95357,http://www.tacoselmaguey.com
1639,13816 Old Columbia Pike,Silver Spring,Mexican Restaurants,39.083551168,-76.952409016,La Palapa 3,20904,http://www.lapalapa3again.com
1640,13816 Old Columbia Pike,Silver Spring,Mexican Restaurants,39.083551168,-76.952409016,La Palapa 3,20904,http://www.lapalapa3again.com
1648,47 Park Ave,Rutherford,Latin American Restaurants,40.827510833,-74.103622436,Restaurante Azteca,7070,http://aztecamexcuisine.com
1649,47 Park Ave,Rutherford,Latin American Restaurants,40.827510833,-74.103622436,Restaurante Azteca,7070,http://aztecamexcuisine.com
1650,47 Park Ave,Rutherford,Latin American Restaurants,40.827510833,-74.103622436,Restaurante Azteca,7070,http://aztecamexcuisine.com
1651,4589 James Madison Pkwy,Dahlgren,Mexican,38.34981,-77.05218,Pancho Villa,22448,
1652,4589 James Madison Pkwy,Dahlgren,Mexican,38.34981,-77.05218,Pancho Villa,22448,
1653,4589 James Madison Pkwy,Dahlgren,Mexican,38.34981,-77.05218,Pancho Villa,22448,
1654,4589 James Madison Pkwy,Dahlgren,Mexican,38.34981,-77.05218,Pancho Villa,22448,
1655,4589 James Madison Pkwy,Dahlgren,Mexican,38.34981,-77.05218,Pancho Villa,22448,
1684,425 Hayes St,San Francisco,Mexican,37.7766342,-122.4233932,Papito Hayes,94102-4380,"http://papitohayessf.com,http://www.papitohayessf.com/"
1685,425 Hayes St,San Francisco,Mexican,37.7766342,-122.4233932,Papito Hayes,94102-4380,"http://papitohayessf.com,http://www.papitohayessf.com/"
1686,425 Hayes St,San Francisco,Mexican,37.7766342,-122.4233932,Papito Hayes,94102-4380,"http://papitohayessf.com,http://www.papitohayessf.com/"
1687,425 Hayes St,San Francisco,Mexican,37.7766342,-122.4233932,Papito Hayes,94102-4380,"http://papitohayessf.com,http://www.papitohayessf.com/"
1688,425 Hayes St,San Francisco,Mexican,37.7766342,-122.4233932,Papito Hayes,94102-4380,"http://papitohayessf.com,http://www.papitohayessf.com/"
1689,2875 Cerrillos Rd,Santa Fe,Mexican Restaurants,35.65625,-105.99006,Marisco's Costa Azul,87507,http://www.mariscoscostaazul.com
1690,2875 Cerrillos Rd,Santa Fe,Mexican Restaurants,35.65625,-105.99006,Marisco's Costa Azul,87507,http://www.mariscoscostaazul.com
1691,2875 Cerrillos Rd,Santa Fe,Mexican Restaurants,35.65625,-105.99006,Marisco's Costa Azul,87507,http://www.mariscoscostaazul.com
1699,217 W Broadway St,Newton,Mexican,38.049680668,-97.348356394,Acapulco Restaurant,67114,http://acapulcorestaurants.com
1700,217 W Broadway St,Newton,Mexican,38.049680668,-97.348356394,Acapulco Restaurant,67114,http://acapulcorestaurants.com
1701,217 W Broadway St,Newton,Mexican,38.049680668,-97.348356394,Acapulco Restaurant,67114,http://acapulcorestaurants.com
1739,1418 W Morse Ave,Chicago,Mexican Restaurants,42.007893,-87.66672,Taqueria Los Portales,60626,http://www.losportalesmexicanrestaurantchicago.com
1740,1418 W Morse Ave,Chicago,Mexican Restaurants,42.007893,-87.66672,Taqueria Los Portales,60626,http://www.losportalesmexicanrestaurantchicago.com
1741,1418 W Morse Ave,Chicago,Mexican Restaurants,42.007893,-87.66672,Taqueria Los Portales,60626,http://www.losportalesmexicanrestaurantchicago.com
1749,800 N Federal Hwy,Pompano Beach,Mexican Restaurants,26.239117,-80.10244,Zona Fresca,33062,http://www.zonafresca.com
1750,800 N Federal Hwy,Pompano Beach,Mexican Restaurants,26.239117,-80.10244,Zona Fresca,33062,http://www.zonafresca.com
1751,3350 Cy Ave,Casper,"Mexican,Take Out Restaurants",42.826575237,-106.362059223,Guadalajara,82604,
1752,3350 Cy Ave,Casper,"Mexican,Take Out Restaurants",42.826575237,-106.362059223,Guadalajara,82604,
